username,timestamp,content,mentions,hashtags,clean_content,signal
Green Red Stocks,2025-07-12 08:41:53+00:00,"Green Red Stocks
@GreenRedStocks
·
15m
Replying to 
@GreenRedStocks
Momentum started ...as we mentioned Earlier..
#GOLD #goldfutures #mcx #Nifty50 #banknifty
10","@GreenRedStocks, @GreenRedStocks","#GOLD, #goldfutures, #mcx, #Nifty50, #banknifty","green red stocks


15m
replying to 

momentum started as we mentioned earlier
gold goldfutures mcx nifty50 banknifty
10",0
Share Market Positional Calls,2025-07-12 08:38:44+00:00,"Share Market Positional Calls
@PositionalShare
·
18m
STOCK QUERY SESSION

Ask Your Stock Query??

Also mention your view (short, mid, long)

WATSAPP HERE
https://wa.me/message/DKCKMG4BYL2WM1…

#stockmarketcrash #StockMarket #Nifty50 #banknifty #Breakout #Trending #LoveIslandUSA #LoveIsland #zordayizgecinemiyoruz #lgs2025
1
65",@PositionalShare,"#stockmarketcrash, #StockMarket, #Nifty50, #banknifty, #Breakout, #Trending, #LoveIslandUSA, #LoveIsland, #zordayizgecinemiyoruz, #lgs2025","share market positional calls


18m
stock query session

ask your stock query

also mention your view short mid long

watsapp here


stockmarketcrash stockmarket nifty50 banknifty breakout trending loveislandusa loveisland zordayizgecinemiyoruz lgs2025
1
65",1
BMSMONEY,2025-07-12 08:30:00+00:00,"BMSMONEY
@BMS_MONEY
·
27m
Top 10   Equity Savings Mutual Funds for 2025 Ranked by composite performance   score
  As of June 30, 2025. 
      https://bmsmoney.com/eng/mutual-fund/top-performing-equity-savings-fund…
    #mutualfunds #MutualFundsSahiHai #NIFTYFUTURE #nifty50 #NiftyIT   #NiftyMidcap #NiftyBank #niftyOptions #sensex #India #FIIs #DIIs
16",@BMS_MONEY,"#mutualfunds, #MutualFundsSahiHai, #NIFTYFUTURE, #nifty50, #NiftyIT, #NiftyMidcap, #NiftyBank, #niftyOptions, #sensex, #India, #FIIs, #DIIs","bmsmoney


27m
top 10   equity savings mutual funds for 2025 ranked by composite performance   score
  as of june 30 2025 
      
    mutualfunds mutualfundssahihai niftyfuture nifty50 niftyit   niftymidcap niftybank niftyoptions sensex india fiis diis
16",0
Trades by CR,2025-07-12 08:25:05+00:00,"Trades by CR
@c_r_market
·
32m
Kaisa laga Mazak
Keep trailing
8000 points up #nifty50 #niftyOptions #bankex #banknifty #BankNiftyOptions #SBIN #NiftyBank #BTCUSD #cryptocurrency #Bitcoin #memecoin #ElonMusk #trumpvsmusk #WealthBuilding Binance Alpha #Silver #MLC2025 #BTCUSDT #Altcoins #memecoins #Coinstrading
Quote
Trades by CR
@c_r_market
·
Jul 6
Btc/usd 
Buy 

Note :: We are not responsible for any profit and loss. Consult your financial advisor before initiating any trade. #nifty50 #niftyOptions #bankex #banknifty #BankNiftyOptions #SBIN #NiftyBank #BTCUSD #cryptocurrency #Bitcoin #memecoin #ElonMusk #trumpvsmusk
107","@c_r_market, @c_r_market","#nifty50, #niftyOptions, #bankex, #banknifty, #BankNiftyOptions, #SBIN, #NiftyBank, #BTCUSD, #cryptocurrency, #Bitcoin, #memecoin, #ElonMusk, #trumpvsmusk, #WealthBuilding, #Silver, #MLC2025, #BTCUSDT, #Altcoins, #memecoins, #Coinstrading, #nifty50, #niftyOptions, #bankex, #banknifty, #BankNiftyOptions, #SBIN, #NiftyBank, #BTCUSD, #cryptocurrency, #Bitcoin, #memecoin, #ElonMusk, #trumpvsmusk","trades by cr


32m
kaisa laga mazak
keep trailing
8000 points up nifty50 niftyoptions bankex banknifty bankniftyoptions sbin niftybank btcusd cryptocurrency bitcoin memecoin elonmusk trumpvsmusk wealthbuilding binance alpha silver mlc2025 btcusdt altcoins memecoins coinstrading
quote
trades by cr


jul 6
btcusd 
buy 

note  we are not responsible for any profit and loss consult your financial advisor before initiating any trade nifty50 niftyoptions bankex banknifty bankniftyoptions sbin niftybank btcusd cryptocurrency bitcoin memecoin elonmusk trumpvsmusk
107",1
Anish Verma,2025-07-12 08:19:33+00:00,"Anish Verma
@anishverma1985
·
37m
BSE Ltd is preparing for the big discount deal, don't leave it, just grab it on every dip

#BSE #JaneStreetGroup #Nifty50 #SmallCaps #Midcap
16",@anishverma1985,"#BSE, #JaneStreetGroup, #Nifty50, #SmallCaps, #Midcap","anish verma


37m
bse ltd is preparing for the big discount deal dont leave it just grab it on every dip

bse janestreetgroup nifty50 smallcaps midcap
16",0
Chart Analysis by Santhosh Muthukumaran ,2025-07-12 08:15:19+00:00,"Stock Market India
Chart Analysis by Santhosh Muthukumaran 
@ChartAtlas
·
41m
Gained 10%  - #COROMANDEL (2118 → 2325).

 Updated chart and analysis in the next tweet

#stockmarket #nifty #nifty50 #priceaction
Quote
Chart Analysis by Santhosh Muthukumaran 
@ChartAtlas
·
Apr 20
#COROMANDEL - Multi Timeframe Price Action analysis :

Weekly chart  - CMP 2,118.30

 Strong uptrend reinforced by recent Morning Star pattern forming near the rising 21EMA (Orange).
 Underlying strength highlighted by prior Hidden Bullish Divergence on RSI. 
 RSI
Show more
2
71","@ChartAtlas, @ChartAtlas","#COROMANDEL, #stockmarket, #nifty, #nifty50, #priceaction, #COROMANDEL","stock market india
chart analysis by santhosh muthukumaran 


41m
gained 10   coromandel 2118  2325

 updated chart and analysis in the next tweet

stockmarket nifty nifty50 priceaction
quote
chart analysis by santhosh muthukumaran 


apr 20
coromandel  multi timeframe price action analysis 

weekly chart   cmp 211830

 strong uptrend reinforced by recent morning star pattern forming near the rising 21ema orange
 underlying strength highlighted by prior hidden bullish divergence on rsi 
 rsi
show more
2
71",1
SAMITZINVESTING,2025-07-12 08:09:53+00:00,"SAMITZINVESTING
@samitzinvesting
·
47m
Thread : What Happened in Indian Markets Over the Last 3 Months? 

A complete breakdown of trends, flows, sectors & sentiment 
#StockMarket #Nifty50 #Sensex #FII #DII #IndiaInvesting
1
25",@samitzinvesting,"#StockMarket, #Nifty50, #Sensex, #FII, #DII, #IndiaInvesting","samitzinvesting


47m
thread  what happened in indian markets over the last 3 months 

a complete breakdown of trends flows sectors  sentiment 
stockmarket nifty50 sensex fii dii indiainvesting
1
25",0
Aamir Kuraishi Official,2025-07-12 08:08:08+00:00,"Aamir Kuraishi Official
@Aamir_Kuraishi
·
48m
#Nifty50 Be Like 


@HoldwithPriyank
 Sir  द्वारा खींची गई लाइन कभी गलत नहीं हो सकता 100% हमेशा सच होता है 

हां अगर कोई अचानक न्यूज़ ना आए तो 19-20 हो सकता है मगर हमेशा 100% टारगेट कंप्लीट हो जाता है ! 


@HoldwithPriyank
  sir 

 हमें 11-7-2025 को 263200/- profit हुआ है 
1
8
12
235","@Aamir_Kuraishi, @HoldwithPriyank, @HoldwithPriyank",#Nifty50,"aamir kuraishi official


48m
nifty50 be like 



 sir  दवर खच गई लइन कभ गलत नह ह सकत 100 हमश सच हत ह 

ह अगर कई अचनक नयज न आए त 1920 ह सकत ह मगर हमश 100 टरगट कपलट ह जत ह  



  sir 

 हम 1172025 क 263200 profit हआ ह 
1
8
12
235",0
pkwebdesign,2025-07-12 08:05:32+00:00,"pkwebdesign
@HarsApp
·
51m
#Nifty50 #StockMarket
The media could not be played.
Reload
16",@HarsApp,"#Nifty50, #StockMarket","pkwebdesign


51m
nifty50 stockmarket
the media could not be played
reload
16",0
BMSMONEY,2025-07-12 08:00:00+00:00,"BMSMONEY
@BMS_MONEY
·
57m
Top 10   Balanced Advantage Mutual Funds for 2025 Ranked by composite performance   score
  As of June 30, 2025. 
      https://bmsmoney.com/eng/mutual-fund/top-performing-balanced-advantage-fund…
    #mutualfunds #MutualFundsSahiHai #NIFTYFUTURE #nifty50 #NiftyIT   #NiftyMidcap #NiftyBank #niftyOptions #sensex #India #FIIs #DIIs
23",@BMS_MONEY,"#mutualfunds, #MutualFundsSahiHai, #NIFTYFUTURE, #nifty50, #NiftyIT, #NiftyMidcap, #NiftyBank, #niftyOptions, #sensex, #India, #FIIs, #DIIs","bmsmoney


57m
top 10   balanced advantage mutual funds for 2025 ranked by composite performance   score
  as of june 30 2025 
      
    mutualfunds mutualfundssahihai niftyfuture nifty50 niftyit   niftymidcap niftybank niftyoptions sensex india fiis diis
23",0
