username,timestamp,content,mentions,hashtags
Green Red Stocks,2025-07-12T08:41:53.000Z,"Green Red Stocks
@GreenRedStocks
·
15m
Replying to 
@GreenRedStocks
Momentum started ...as we mentioned Earlier..
#GOLD #goldfutures #mcx #Nifty50 #banknifty
10","@GreenRedStocks, @GreenRedStocks","#GOLD, #goldfutures, #mcx, #Nifty50, #banknifty"
Share Market Positional Calls,2025-07-12T08:38:44.000Z,"Share Market Positional Calls
@PositionalShare
·
18m
STOCK QUERY SESSION

Ask Your Stock Query??

Also mention your view (short, mid, long)

WATSAPP HERE
https://wa.me/message/DKCKMG4BYL2WM1…

#stockmarketcrash #StockMarket #Nifty50 #banknifty #Breakout #Trending #LoveIslandUSA #LoveIsland #zordayizgecinemiyoruz #lgs2025
1
65",@PositionalShare,"#stockmarketcrash, #StockMarket, #Nifty50, #banknifty, #Breakout, #Trending, #LoveIslandUSA, #LoveIsland, #zordayizgecinemiyoruz, #lgs2025"
BMSMONEY,2025-07-12T08:30:00.000Z,"BMSMONEY
@BMS_MONEY
·
27m
Top 10   Equity Savings Mutual Funds for 2025 Ranked by composite performance   score
  As of June 30, 2025. 
      https://bmsmoney.com/eng/mutual-fund/top-performing-equity-savings-fund…
    #mutualfunds #MutualFundsSahiHai #NIFTYFUTURE #nifty50 #NiftyIT   #NiftyMidcap #NiftyBank #niftyOptions #sensex #India #FIIs #DIIs
16",@BMS_MONEY,"#mutualfunds, #MutualFundsSahiHai, #NIFTYFUTURE, #nifty50, #NiftyIT, #NiftyMidcap, #NiftyBank, #niftyOptions, #sensex, #India, #FIIs, #DIIs"
Trades by CR,2025-07-12T08:25:05.000Z,"Trades by CR
@c_r_market
·
32m
Kaisa laga Mazak
Keep trailing
8000 points up #nifty50 #niftyOptions #bankex #banknifty #BankNiftyOptions #SBIN #NiftyBank #BTCUSD #cryptocurrency #Bitcoin #memecoin #ElonMusk #trumpvsmusk #WealthBuilding Binance Alpha #Silver #MLC2025 #BTCUSDT #Altcoins #memecoins #Coinstrading
Quote
Trades by CR
@c_r_market
·
Jul 6
Btc/usd 
Buy 

Note :: We are not responsible for any profit and loss. Consult your financial advisor before initiating any trade. #nifty50 #niftyOptions #bankex #banknifty #BankNiftyOptions #SBIN #NiftyBank #BTCUSD #cryptocurrency #Bitcoin #memecoin #ElonMusk #trumpvsmusk
107","@c_r_market, @c_r_market","#nifty50, #niftyOptions, #bankex, #banknifty, #BankNiftyOptions, #SBIN, #NiftyBank, #BTCUSD, #cryptocurrency, #Bitcoin, #memecoin, #ElonMusk, #trumpvsmusk, #WealthBuilding, #Silver, #MLC2025, #BTCUSDT, #Altcoins, #memecoins, #Coinstrading, #nifty50, #niftyOptions, #bankex, #banknifty, #BankNiftyOptions, #SBIN, #NiftyBank, #BTCUSD, #cryptocurrency, #Bitcoin, #memecoin, #ElonMusk, #trumpvsmusk"
Anish Verma,2025-07-12T08:19:33.000Z,"Anish Verma
@anishverma1985
·
37m
BSE Ltd is preparing for the big discount deal, don't leave it, just grab it on every dip

#BSE #JaneStreetGroup #Nifty50 #SmallCaps #Midcap
16",@anishverma1985,"#BSE, #JaneStreetGroup, #Nifty50, #SmallCaps, #Midcap"
Chart Analysis by Santhosh Muthukumaran ,2025-07-12T08:15:19.000Z,"Stock Market India
Chart Analysis by Santhosh Muthukumaran 
@ChartAtlas
·
41m
Gained 10%  - #COROMANDEL (2118 → 2325).

 Updated chart and analysis in the next tweet

#stockmarket #nifty #nifty50 #priceaction
Quote
Chart Analysis by Santhosh Muthukumaran 
@ChartAtlas
·
Apr 20
#COROMANDEL - Multi Timeframe Price Action analysis :

Weekly chart  - CMP 2,118.30

 Strong uptrend reinforced by recent Morning Star pattern forming near the rising 21EMA (Orange).
 Underlying strength highlighted by prior Hidden Bullish Divergence on RSI. 
 RSI
Show more
2
71","@ChartAtlas, @ChartAtlas","#COROMANDEL, #stockmarket, #nifty, #nifty50, #priceaction, #COROMANDEL"
SAMITZINVESTING,2025-07-12T08:09:53.000Z,"SAMITZINVESTING
@samitzinvesting
·
47m
Thread : What Happened in Indian Markets Over the Last 3 Months? 

A complete breakdown of trends, flows, sectors & sentiment 
#StockMarket #Nifty50 #Sensex #FII #DII #IndiaInvesting
1
25",@samitzinvesting,"#StockMarket, #Nifty50, #Sensex, #FII, #DII, #IndiaInvesting"
Aamir Kuraishi Official,2025-07-12T08:08:08.000Z,"Aamir Kuraishi Official
@Aamir_Kuraishi
·
48m
#Nifty50 Be Like 


@HoldwithPriyank
 Sir  द्वारा खींची गई लाइन कभी गलत नहीं हो सकता 100% हमेशा सच होता है 

हां अगर कोई अचानक न्यूज़ ना आए तो 19-20 हो सकता है मगर हमेशा 100% टारगेट कंप्लीट हो जाता है ! 


@HoldwithPriyank
  sir 

 हमें 11-7-2025 को 263200/- profit हुआ है 
1
8
12
235","@Aamir_Kuraishi, @HoldwithPriyank, @HoldwithPriyank",#Nifty50
pkwebdesign,2025-07-12T08:05:32.000Z,"pkwebdesign
@HarsApp
·
51m
#Nifty50 #StockMarket
The media could not be played.
Reload
16",@HarsApp,"#Nifty50, #StockMarket"
BMSMONEY,2025-07-12T08:00:00.000Z,"BMSMONEY
@BMS_MONEY
·
57m
Top 10   Balanced Advantage Mutual Funds for 2025 Ranked by composite performance   score
  As of June 30, 2025. 
      https://bmsmoney.com/eng/mutual-fund/top-performing-balanced-advantage-fund…
    #mutualfunds #MutualFundsSahiHai #NIFTYFUTURE #nifty50 #NiftyIT   #NiftyMidcap #NiftyBank #niftyOptions #sensex #India #FIIs #DIIs
23",@BMS_MONEY,"#mutualfunds, #MutualFundsSahiHai, #NIFTYFUTURE, #nifty50, #NiftyIT, #NiftyMidcap, #NiftyBank, #niftyOptions, #sensex, #India, #FIIs, #DIIs"
